generation,max_trip,total_trip
0,55.370000000000005,157.20000000000002
0,107.38,170.79000000000002
0,73.62,171.11
0,71.02,189.70000000000002
0,120.04,159.34
0,78.11,184.86
0,82.01,182.0
0,76.38000000000001,192.42
0,82.45000000000002,173.0
0,75.08,204.61
0,128.18,161.94
0,128.18,161.94
0,83.52,198.36
0,101.6,179.85000000000002
0,83.53999999999999,194.0
0,90.66000000000001,180.09000000000003
0,85.82000000000001,186.28
0,104.05999999999999,175.48
0,79.81000000000002,227.47000000000003
0,80.02,199.10000000000002
0,79.72,229.20000000000002
0,129.02,169.0
0,81.34,221.75
0,81.41000000000001,217.84000000000003
0,81.69,210.60999999999996
0,82.4,205.66000000000003
0,86.81,188.59
0,84.86000000000001,196.65
0,121.81999999999998,175.99999999999997
0,108.56000000000002,178.24
0,95.30999999999997,183.24999999999997
0,80.72,225.01
0,131.70000000000002,172.05
0,90.97999999999999,197.47
0,93.27000000000001,196.65
0,82.59,219.73000000000002
0,89.69,197.55
0,102.63999999999999,185.07
0,88.54,203.97000000000003
0,82.7,217.92000000000002
0,94.30999999999999,195.90999999999997
0,82.32000000000001,222.84000000000003
0,99.22999999999999,186.16
0,83.28,206.3
0,108.74999999999999,182.73000000000002
0,129.36,177.44
0,132.93999999999997,172.71999999999997
0,80.97,232.92000000000002
0,83.81,209.91000000000003
0,94.98,203.59
0,94.98,200.37
0,85.83,207.25000000000003
0,91.83,206.05
0,83.66,210.46
0,83.17,223.70000000000002
0,96.10000000000001,197.93
0,101.38999999999999,186.35999999999999
0,108.82,184.73999999999998
0,136.29,184.16
0,82.76,227.24
0,139.10999999999999,179.01
0,85.15,217.82000000000002
0,87.33,217.75
0,100.50999999999999,198.89999999999998
0,95.86000000000001,201.22
0,89.99000000000001,216.44
0,101.99,196.84999999999997
0,107.03,187.97
0,92.38,206.86
0,84.83000000000001,219.45000000000002
0,82.99,237.10999999999999
0,110.2,185.57
0,105.82000000000001,197.93
0,96.03000000000002,206.18
0,101.34,199.53000000000003
0,117.15999999999998,189.29999999999998
0,107.21000000000001,192.88
0,86.35999999999999,218.95999999999998
0,95.61,208.98999999999998
0,84.02000000000001,241.44
0,84.84,220.83000000000004
0,83.97000000000001,241.69
0,120.94000000000003,185.98000000000002
0,95.5,220.17000000000002
0,94.53000000000002,220.89000000000004
0,87.97000000000001,221.64999999999998
0,123.13,189.98
0,99.58,206.56
0,118.66000000000001,190.19000000000003
0,110.6,193.37
0,109.53000000000003,196.02000000000004
0,95.77999999999999,218.07999999999998
0,96.58,207.65999999999997
0,101.97,200.32999999999998
0,85.49000000000001,222.76000000000005
0,85.43,241.20999999999998
0,84.58,249.04000000000002
0,128.26999999999998,186.21999999999997
0,87.97,222.85
0,86.21,227.23
0,89.28,222.25
0,94.72999999999999,221.79
0,87.33,224.49
0,96.22,221.18
0,96.69,215.09
0,99.69,213.77
0,120.68000000000002,191.65000000000003
0,109.75999999999999,196.2
0,103.25,203.96
0,86.0,227.79
0,133.04000000000002,189.63000000000002
0,115.16999999999999,198.22
0,93.43,222.34
0,88.46,223.08
0,118.65999999999997,196.34999999999997
0,110.06000000000002,198.55
0,99.11999999999998,221.45
0,134.3,196.08
0,86.30000000000001,229.22
0,103.95,209.89999999999998
0,86.10000000000001,244.66000000000003
0,143.84,190.29000000000002
0,115.62,202.55
0,89.08,227.88
0,116.16999999999999,199.07999999999998
